left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,name_yoga
165.3611359,185.3109503,169.086816,187.0986331,117.1778115,135.5593177,337.2101394,180.438556,211.5120288,181.6686665,139.7112272,92.34962462,tree
198.8399036,136.5084711,340.5683198,61.47250985,39.01265464,358.6800228,174.0486482,33.68135643,177.8923217,136.9659218,85.04382812,140.8536665,tree
219.0833302,138.3646992,319.763368,41.84688069,19.7603304,15.06590127,179.4263607,29.0376414,171.7750658,166.8673758,97.10973906,109.0655932,tree
174.2051746,179.1551452,154.7330001,199.5469849,173.5106794,187.9033074,342.5934238,185.0945076,239.116287,211.4301433,149.5586414,86.74089136,tree
260.8925975,137.394375,290.5491058,57.97373034,28.34893398,38.4658329,244.0983936,197.8726788,183.3770811,163.0226731,113.7983151,82.94503722,tree
179.0543878,187.3653117,175.3573011,194.2081483,154.6424144,144.7154239,187.3033156,118.5979971,187.9011298,198.9709741,90.59854592,110.5390257,tree
221.3584728,134.3290771,316.9688534,37.02222636,33.60018978,16.71734902,177.6058955,17.7973582,162.7345066,144.6686916,87.08072344,147.7362382,tree
165.4976894,220.9205556,170.5751497,192.2385555,157.2487213,167.1664791,340.4890627,181.5724821,230.9127315,193.6336284,142.0840768,86.88424001,tree
216.3500704,132.9442665,329.3815756,36.97607984,42.52278978,21.73923411,180.5089036,19.48502344,146.8063079,136.8203357,86.49278967,143.9624526,tree
164.7433494,183.6574955,172.5945965,186.3569956,179.941579,186.171454,325.6865796,178.593732,206.9418719,187.8692218,114.6838069,102.1512981,tree
174.819442,178.2261315,76.48123464,287.818935,166.3422276,138.9677986,176.8973279,44.07888335,173.1864968,153.4254865,85.53176077,146.5887326,tree
157.7999482,164.9743538,162.3525452,190.3078261,141.3832137,183.4398382,207.4963241,300.3240789,147.3405864,180.5329526,142.9096458,343.8523805,tree
195.4985142,155.1636991,84.3966694,270.9126273,163.9667627,151.7688643,185.0319982,33.32692385,151.9821546,169.8546008,88.97286817,148.7424812,tree
221.6361697,144.9447582,324.6169723,29.32525384,24.69683464,18.80300273,182.0611475,45.78183898,184.8315317,175.9757528,108.7040144,107.4593279,tree
179.7721853,179.6580945,93.79697951,261.137403,154.1769151,162.6730727,304.3585576,181.6489558,205.5616172,197.8201464,146.0677581,81.340067,tree
182.2567629,177.3928077,156.0201185,202.240849,181.4372888,179.6058588,177.5542451,49.4292945,171.6142427,164.2883136,86.50110639,148.8822633,tree
206.0301404,148.1483374,219.7156442,174.6897198,357.7880528,188.4614485,338.6597422,178.6408011,257.550313,148.6533658,94.45459333,93.55255922,tree
216.2095007,132.8910133,322.722164,41.86628401,23.65352807,21.36403375,183.1341518,43.11481406,182.6485188,150.2552781,106.8914139,112.9198188,tree
204.672785,154.8239294,317.5545083,46.57092545,59.50157244,40.60718445,187.4451236,57.57644244,164.1868024,163.7462558,86.49894894,149.4235464,tree
178.7076042,183.3200601,167.5358276,175.473315,163.8025159,179.4592618,178.9095788,332.6836297,160.6180789,219.7686586,250.925901,246.4016393,tree
195.4985142,155.1636991,84.3966694,270.9126273,163.9667627,151.7688643,185.0319982,33.32692385,151.9821546,169.8546008,88.97286817,148.7424812,tree
174.3326329,178.965494,139.3106741,221.1519046,179.8272177,179.8295884,339.6081118,179.075081,235.3045811,177.9103126,146.3860614,84.25447245,tree
165.3611359,185.3109503,169.086816,187.0986331,117.1778115,135.5593177,337.2101394,180.438556,211.5120288,181.6686665,139.7112272,92.34962462,tree
216.2095007,132.8910133,322.722164,41.86628401,23.65352807,21.36403375,183.1341518,43.11481406,182.6485188,150.2552781,106.8914139,112.9198188,tree
